config,replication,tp,fp,micro prec,macro prec,tp (xor),fp (xor),micro prec (xor),macro prec (xor),tp (order),fp (order),micro prec (order),macro prec (order),tp (co-occ),fp (co-occ),micro prec (co-occ),macro prec (co-occ),tp (abs),fp (abs),micro prec (abs),macro prec (abs),tp (abs xor),fp (abs xor),micro prec (abs xor),macro prec (abs xor),tp (abs order),fp (abs order),micro prec (abs order),macro prec (abs order),tp (abs co-occ),fp (abs co-occ),micro prec (abs co-occ),macro prec (abs co-occ),tp (variant),fp (variant),micro prec (variant),macro prec (variant),tp (traces),fp (traces),micro prec (traces),macro prec (traces),runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL_anomaly_classification:True,0,4587,2933,0.609973404255319,0.873695004222698,2589,1548,0.625815808556925,0.873165519459471,1397,253,0.846666666666667,0.96642191258239,601,1132,0.346797461050202,0.893232551314295,137473,819766,0.143614081749699,0.800738343325593,68736,400945,0.146346137058983,0.852209220259842,50656,97738,0.341361510573204,0.942378025695088,18081,321083,0.053310492858912,0.878070069281238,180180,3417,0.981388584780797,0.995609592589927,248955,243777,0.505254377633277,0.883970461982215,0:51:32.085161
sim_mode:SimMode.EQUAL_kb_heuristics:True_anomaly_classification:True,0,2654,813,0.765503316988751,0.928536067505146,1534,506,0.751960784313726,0.945601517714865,948,137,0.873732718894009,0.975927596610859,172,170,0.502923976608187,0.973126008878127,85528,210536,0.288883484651967,0.901151557714747,42496,122659,0.257309799884957,0.936190106619348,37793,46149,0.450227538061995,0.965887261975175,5239,41728,0.111546404922605,0.967188401707012,104636,1391,0.986880700199006,0.997754124335565,136916,90403,0.602307770138,0.944634243057297,0:42:57.973258
sim_mode:SimMode.EQUAL_split_loops:True_anomaly_classification:True,0,4553,2878,0.61270353922756,0.873224039136483,2586,1537,0.627213194276013,0.872463737461146,1375,248,0.847196549599507,0.965310264515773,592,1093,0.3513353115727,0.89486979039283,105325,724831,0.126873744211931,0.796863607070438,55033,334586,0.14124824508045,0.850752229587793,32598,79747,0.290159775690952,0.942454531320807,17694,310498,0.053913562792512,0.879663934682993,165375,3312,0.980366003307902,0.99538000664027,229572,239599,0.489314130668775,0.88103447675955,0:49:17.347287
sim_mode:SimMode.EQUAL_split_loops:True_kb_heuristics:True_anomaly_classification:True,0,2620,823,0.760964275341272,0.92796829796865,1505,515,0.745049504950495,0.943991203789932,940,132,0.876865671641791,0.977106733701013,175,176,0.498575498575499,0.974079398708636,62562,174350,0.26407273586817,0.900960900387283,33925,102810,0.248107653490328,0.934838392778992,23373,30333,0.435202770640152,0.969133562294885,5264,41207,0.113274945665038,0.967684581385098,85546,1247,0.985632481882179,0.997618033433313,113446,85531,0.570146298315886,0.944040603357108,0:45:17.250415
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_anomaly_classification:True,0,5158,3542,0.592873563218391,0.855629337450151,2668,1664,0.615881809787627,0.863506557947901,1801,340,0.84119570294255,0.958328617200439,689,1538,0.309384822631343,0.861341038128384,154797,990032,0.135214080006708,0.765755777685737,69836,424946,0.141144989106313,0.83925080099539,64477,133819,0.325155323354984,0.926307463076802,20484,431267,0.04534356315758,0.842177550285299,207597,4648,0.97810077975924,0.99437120201422,286392,291155,0.495876526066277,0.863214497590406,1:26:22.596548
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_split_loops:True_anomaly_classification:True,0,5175,3515,0.595512082853855,0.856648326372671,2700,1650,0.620689655172414,0.863981743722916,1797,331,0.844454887218045,0.959050649993447,678,1534,0.306509945750452,0.861391979319325,118887,897186,0.117006356826724,0.763069438685959,56883,361521,0.135952333151691,0.839145127070928,41717,110886,0.273369461937183,0.92596634789983,20287,424779,0.04558200356801,0.842516248643745,191549,4541,0.976842266306288,0.99416054459122,265827,287528,0.480391430456036,0.861355676698673,1:24:02.832288
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_kb_heuristics:True_anomaly_classification:True,0,3181,1069,0.748470588235294,0.918815384753155,1656,565,0.745610085547051,0.940446735340112,1307,174,0.882511816340311,0.971308837211909,218,330,0.397810218978102,0.956911095417451,101727,286425,0.262080319050269,0.881786132626237,45022,133574,0.252088512620663,0.928976550372048,50237,63893,0.440173486375186,0.956830633241889,6468,88958,0.067780269528221,0.948256718336387,121088,2221,0.981988338239707,0.996889244542312,160140,116226,0.579448991554677,0.932679407707652,1:07:50.664009
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_match_one:True_kb_heuristics:True_anomaly_classification:True,0,3151,1057,0.748811787072243,0.920303804277332,1631,536,0.752653437932626,0.943465247445494,1284,173,0.881262868908716,0.971399069386358,236,348,0.404109589041096,0.954784604519774,99454,280525,0.261735516962779,0.882934021434349,43890,130809,0.251232119245102,0.931569878833158,48462,61096,0.442341043100458,0.957126544586033,7102,88620,0.074194020183448,0.946418315619204,120368,2125,0.982652069914199,0.997002833284984,158031,113943,0.581051865251825,0.933782229605666,1:01:27.893746
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_anomaly_classification:True,0,7968,6807,0.539289340101523,0.794683958405138,3131,2529,0.553180212014134,0.7990951912596,3475,1155,0.750539956803456,0.897396154607557,1362,3123,0.303678929765886,0.774313937233252,235630,2143212,0.099052396081791,0.654230853618892,81141,679685,0.106648563534895,0.764523368279075,113622,551250,0.170893044074649,0.80485821062237,40867,912277,0.042875997750602,0.739035083576068,309490,15812,0.951392859558195,0.991659273118259,439316,479119,0.478331074055322,0.798570082351084,4:41:39.575418
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_kb_heuristics:True_anomaly_classification:True,0,5357,3010,0.640253376359508,0.865125957362786,1983,1240,0.615265280794291,0.879961305094147,2721,724,0.789840348330914,0.923751799732569,653,1046,0.384343731606828,0.887685839936899,166848,969989,0.146765103528474,0.780942322961374,53432,329484,0.13953974239781,0.859440389270922,92742,346652,0.211067970887176,0.863335925252863,20674,293853,0.06573044603484,0.867443794438967,210415,12922,0.942141248427265,0.994489964684728,286183,269143,0.515342339454663,0.873971634099973,3:07:27.848526
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_match_one:True_kb_heuristics:True_anomaly_classification:True,0,4431,2175,0.670753860127157,0.879516674753048,1848,966,0.656716417910448,0.90559949995861,2116,451,0.824308531359564,0.941632753631832,467,758,0.381224489795918,0.90983511740927,138729,663253,0.172982685396929,0.809934244739585,49486,249260,0.165645732495163,0.888125871297025,74545,208877,0.263017690934366,0.901040718401106,14698,205116,0.066865622753783,0.894885069996413,180201,12199,0.936595634095634,0.99484500726668,240496,213546,0.529677871210152,0.890854773126589,1:41:31.947375
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.6_anomaly_classification:True,0,6167,4799,0.562374612438446,0.823386520410585,2849,1979,0.59009942004971,0.836886812920591,2400,607,0.798137678749584,0.932930493118941,918,2213,0.293197061641648,0.812296237238337,183815,1437519,0.113372691869781,0.707343155516782,74659,530205,0.123431052269601,0.808586899233367,82198,254879,0.243855261557448,0.883435700200264,26958,652435,0.039679537469477,0.786759093687332,258887,6214,0.976559877178886,0.992923289984149,368378,389599,0.486001554136867,0.829296814990703,2:23:00.242574
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.6_kb_heuristics:True_anomaly_classification:True,0,3992,1856,0.682626538987688,0.889028783015771,1767,835,0.679093005380477,0.913961628355167,1838,379,0.829048263419035,0.948394938641487,387,642,0.376093294460641,0.922575062061291,125169,542785,0.187391646730164,0.828857456761097,47633,215073,0.181316757135353,0.898126582868072,65976,155443,0.297969008982969,0.918158948685617,11560,172269,0.06288452855643,0.910030736973378,162020,3646,0.977991863146331,0.995552746438271,215438,184310,0.538934528753114,0.902004493559265,1:42:46.643029
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.8_anomaly_classification:True,0,4674,3045,0.605518849591916,0.867661568208477,2591,1541,0.627057115198451,0.872656267069642,1455,287,0.835246842709529,0.963304900206694,628,1217,0.340379403794038,0.883826739915635,140900,854280,0.141582427299584,0.789578753395774,68876,396086,0.148132535562046,0.850908612578263,53315,110498,0.325462570125692,0.937111128011336,18709,347696,0.051060984429798,0.867079097549457,188999,4038,0.979081730445459,0.994995387147986,260253,256475,0.503655695065876,0.877312182215293,1:12:24.579692
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.8_kb_heuristics:True_anomaly_classification:True,0,2734,911,0.750068587105624,0.9217756793336,1561,552,0.738760056791292,0.941754864133042,983,147,0.869911504424779,0.973712228214347,190,212,0.472636815920398,0.96894757196664,87762,243346,0.26505551058869,0.893090381963563,42843,137301,0.237826405542233,0.931261471216398,39237,51516,0.432349343823345,0.963877561259938,5682,54529,0.094368138712196,0.962139188186691,110846,1931,0.982877714427587,0.99722167766687,146507,101311,0.591187887885464,0.940007208882745,0:58:29.639066
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.9_anomaly_classification:True,0,4631,2934,0.612161269001983,0.873410286883431,2603,1535,0.629047849202513,0.873638408268584,1417,277,0.836481700118064,0.963573911950227,611,1122,0.352567801500288,0.89368195747742,139830,823130,0.145208523718535,0.800078461998596,69195,395583,0.14887752862657,0.852496368478573,52414,108001,0.32674001807811,0.938778631913824,18221,319546,0.053945471286419,0.878435790348883,181679,3425,0.981496888235803,0.995601858695794,250085,242705,0.507487976622902,0.883741918886143,1:06:52.792110
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.9_kb_heuristics:True_anomaly_classification:True,0,2660,832,0.761741122565865,0.928524461252094,1519,508,0.749383325111001,0.945384328673523,964,136,0.876363636363636,0.97622727927283,177,188,0.484931506849315,0.971972104519774,86559,213250,0.288713814461874,0.901317780883321,41524,121532,0.254660975370425,0.935611773172222,39777,45849,0.464543479784178,0.966619585514082,5258,45869,0.102841942613492,0.965686115641594,105343,1370,0.987161826581579,0.997774097837279,138288,89393,0.607376109556792,0.945070153228704,0:55:36.708094
